numphoneme,phoneme,duration,timef,f0,f0max,f0min,f1,f2,f3,intensity,intensitymax,id,rec,reduction,stress
3,ɐ,0.0774247596423271,0.351321944429183,220.362463189141,222.436015942435,206.400973548614,684.088603582244,1164.70589976303,2815.45762933611,60.6595346762153,62.024294068649,subj2,4-2,2,NA
4,p,0.166342257044062,0.473205452772378,218.751856039145,222.054194267812,197.420263110205,731.499036405189,1476.81284032256,2672.45387504276,37.3863432149616,52.7735112191487,subj2,4-2,0,NA
5,o,0.104039520769377,0.608396341679098,187.429153807591,197.81788007051,181.492083373571,458.341534643492,650.567071448303,2580.27205260511,57.4761616123627,57.7804718693223,subj2,4-2,1,NA
6,k,0.162108090501123,0.741470147314347,182.768930568586,189.416066478714,178.920378087256,751.551051213644,1830.69763497208,3050.03486268678,43.3838268746366,54.8541800073014,subj2,4-2,0,NA
1,x,0.159722412165114,0.297861268828991,-1,223.605331976443,222.628861471465,1080.54163708524,1954.63216799351,3925.12289325934,36.8278188107884,54.3543390418969,subj2,4-1,0,NA
2,ɫ,0.0888663146975679,0.422155632260332,206.037867645867,222.183761884704,204.148388179564,412.599846284473,868.32698195381,2673.82102849373,60.1459092962307,60.6808368902487,subj2,4-1,0,NA
3,o,0.130995530554193,0.532086554886212,226.125427741241,233.175850583758,212.014152809513,502.174696434357,827.13483015092,2633.74369495773,61.7317407517158,63.0065345737055,subj2,4-1,1,NA
4,p,0.13823648952955,0.666702564928084,229.339803908283,234.180828050678,217.317355866189,664.617285809435,2168.53979194356,3156.17401224318,41.0474028427059,56.5889327084669,subj2,4-1,0,NA
5,ə,0.0710930517580544,0.771367335571886,216.862236742782,227.118129334096,209.835182245241,470.066966170313,996.88559809025,2555.69499119285,58.1314168707373,59.3553551061457,subj2,4-1,3,NA
6,k,0.128362454563154,0.87109508873249,208.553311736911,211.451583884604,206.541657381957,734.453797884276,1471.96675808878,2662.70888613044,43.4693443490171,50.0830478538673,subj2,4-1,0,NA
1,mʲ,0.0703880107739012,0.182768491742762,199.117431187316,206.475727114778,198.438307398872,377.14541123957,2381.47440090464,2643.47798224756,59.1633071847337,60.8790151872242,subj2,35-2,0,NA
2,ɪ,0.0826936070630448,0.259309300661235,213.813287315188,216.805751763459,206.85762934996,424.334735411428,2183.41908362166,2487.66789228618,58.532411595377,60.938435909619,subj2,35-2,2,NA
3,ɫ,0.127485977555527,0.364399092970521,191.526052783608,214.522436969627,171.864232928668,338.63745000324,1941.79234434481,3182.570179196,54.9122298201056,56.6756336233969,subj2,35-2,0,NA
4,a,0.179661705821496,0.517972934659033,169.793464879733,173.54880891454,165.284628933318,1580.28634196235,2496.84761148673,3911.63177360574,53.2836304140185,54.0371210157465,subj2,35-2,1,NA
1,mʲ,0.107930937785309,0.230575906873646,196.143765754114,206.250673145297,194.884894100074,326.055265614738,2320.39062785595,3475.18654344799,58.5700635568236,60.513471735815,subj2,35-1,0,NA
2,e,0.168419705115537,0.368751228324069,213.500080605001,230.712877826955,202.586910422528,651.335927990711,2171.09300877268,3006.05981946053,60.0345767461026,62.048059338148,subj2,35-1,1,NA
3,ɫ,0.0931052595180961,0.499513710640886,233.132890670495,236.631538199477,230.734026578877,442.769578555112,1136.57219464974,2309.61683687796,62.4205924886328,62.6601648937653,subj2,35-1,0,NA
4,ə,0.151814945456259,0.621973813128063,227.60671365566,235.693940904365,206.706178493081,732.812464929431,1619.1454901456,2782.52489139913,61.1504890709786,62.0784979804009,subj2,35-1,3,NA
1,p,0.0217523123412156,0.179310318772954,238.714063048955,240.96294090769,233.600477460931,430.939995116093,1726.49133806066,2683.14430304562,51.0190723002371,57.4721428716105,subj2,34-2,0,NA
2,ə,0.0621494638320445,0.221261206859585,219.573049974413,233.033900803952,209.25457546693,420.48694380217,1950.995982899,2583.96666880842,61.5950872900594,61.9808260576222,subj2,34-2,3,NA
3,sʲ,0.0815711712795584,0.293121524415386,-1,209.127792101687,207.342042970589,664.118309620147,2395.00768392459,3583.27939198012,49.1051275294172,56.2411820996876,subj2,34-2,0,NA
4,tʲ,0.138282557026299,0.403048388568315,-1,228.279648604782,223.507081671864,1596.89737390294,2659.24942455312,3749.58259688519,42.0441698777959,57.7540989729791,subj2,34-2,0,NA
